126
gene-ECs_R0014	rrsA	MissingGeneType
gene-ECs_R0114	ileT	MissingGeneType
gene-ECs_R0115	alaT	MissingGeneType
gene-ECs_R0015	rrlA	MissingGeneType
gene-ECs_R0016	rrfA	MissingGeneType
gene-ECs_R0017	rrsB	MissingGeneType
gene-ECs_R0116	gltT	MissingGeneType
gene-ECs_R0018	rrlB	MissingGeneType
gene-ECs_R0019	rrfB	MissingGeneType
gene-ECs_R0117	thrU	MissingGeneType
gene-ECs_R0118	tyrU	MissingGeneType
gene-ECs_R0119	glyT	MissingGeneType
gene-ECs_R0120	thrT	MissingGeneType
gene-ECs_R0020	rrsE	MissingGeneType
gene-ECs_R0121	gltV	MissingGeneType
gene-ECs_R0021	rrlE	MissingGeneType
gene-ECs_R0022	rrfE	MissingGeneType
gene-ECs_R0122	pheU	MissingGeneType
gene-ECs_R0123	glyV	MissingGeneType
gene-ECs_R0124	glyX	MissingGeneType
gene-ECs_R0125	glyY	MissingGeneType
gene-ECs_R0126	leuX	MissingGeneType
gene-ECs_R0127	leuQ	MissingGeneType
